movie_id,person_id,name,department,job,gender
157350,1352971,Patrick Finley,Visual Effects,Visual Effects Supervisor,0
157350,1352956,Veronica Roth,Writing,Novel,0
157350,176489,Vanessa Taylor,Writing,Screenplay,1
157350,228135,Evan Daugherty,Writing,Screenplay,2
157353,559,Wally Pfister,Directing,Director,2
157353,1119475,Samantha C. Kirkeby,Directing,Script Supervisor,0
157353,561,John Papsidera,Production,Casting,0
157353,60665,Jo Edna Boldin,Production,Casting,0
157353,525,Christopher Nolan,Production,Executive Producer,2
157353,556,Emma Thomas,Production,Executive Producer,1
157353,1357072,Justin Ferk,Production,Location Manager,2
157353,47285,Broderick Johnson,Production,Producer,2
157353,47286,Andrew A. Kosove,Production,Producer,2
157353,986291,Marisa Polvino,Production,Producer,1
157353,1155664,Kate Cohen,Production,Producer,0
157353,1155665,Annie Marter,Production,Producer,0
157353,1155666,Regency Boies,Production,Producer,0
157353,1155667,Scott Andrew Robertson,Production,Producer,0
157353,1155668,Mike Chambers,Visual Effects,Visual Effects Producer,0
157353,1337418,Nathan McGuinness,Visual Effects,Visual Effects Supervisor,0
157353,1155661,Jack Paglen,Writing,Writer,0
157354,1056121,Ryan Coogler,Directing,Director,2
157354,1534675,Andrea Manners,Directing,Script Supervisor,1
157354,1535116,Virginia Saenz McCarthy,Directing,Script Supervisor,0
157354,13064,Nina Henninger,Production,Casting,1
157354,1280965,Tracy 'Twinkie' Bird,Production,Casting,0
157354,1280964,Michael Y. Chow,Production,Executive Producer,0
157354,2178,Forest Whitaker,Production,Producer,2
157354,1280963,Nina Yang Bongiovi,Production,Producer,0
157354,1056121,Ryan Coogler,Writing,Writer,2
157386,930710,James Ponsoldt,Directing,Director,0
157386,1021206,Angela Demo,Production,Casting,1
157386,1176357,Barbara J. McCarthy,Production,Casting,1
157386,17825,Shawn Levy,Production,Producer,2
157386,66264,Andrew Lauren,Production,Producer,2
157386,66724,Michelle Krumm,Production,Producer,0
157386,75362,Tom McNulty,Production,Producer,2
157386,1138714,Tim Tharp,Writing,Novel,0
157386,77950,Scott Neustadter,Writing,Screenplay,2
157386,77951,Michael H. Weber,Writing,Screenplay,2
157422,204325,Jay Alaimo,Directing,Director,0
157422,101802,Patrick Durham,Production,Associate Producer,2
157422,163642,Michele Hicks,Production,Associate Producer,0
157422,1545663,Melissa Engle,Production,Associate Producer,0
157422,1545664,Jax Moore,Production,Associate Producer,0
157422,1545665,Dan King,Production,Associate Producer,0
157422,1545666,Walter Barratt,Production,Executive Producer,0
157422,91494,Enzo Cilenti,Production,Producer,2
157422,1138751,Gianni Capaldi,Production,Producer,0
157422,91494,Enzo Cilenti,Writing,Screenplay,2
157422,112080,Shawna Waldron,Writing,Screenplay,1
157422,827378,Stephen Wallis,Writing,Screenplay,2
157422,1138751,Gianni Capaldi,Writing,Screenplay,0
157422,112080,Shawna Waldron,Writing,Story,1
157422,827378,Stephen Wallis,Writing,Story,2
157544,20193,Mark Neveldine,Directing,Director,2
157544,1494279,Kari Montgomery,Directing,Script Supervisor,0
157544,1034748,Tricia Wood,Production,Casting,1
157544,1493973,Lisa Zagoria,Production,Casting,1
